"pageId","box","type","attributes"
"5","[264,1325,284,1310]","block","indentation<mixed>lineHeight<25>"
"5","[264,1325,764,1310]","paragraph","fontSize<11>indentation<indent>lineHeight<26>textOrientation<justified>"
"5","[270,1303,1359,1808]","image",""
"5","[264,1323,444,750]","paragraph","fontSize<11>indentation<indent>lineHeight<25>textOrientation<justified>"
"5","[264,1324,284,429]","paragraph","fontSize<11>indentation<none>lineHeight<25>textOrientation<justified>"
"5","[264,1323,1824,1883]","region",""
"5","[264,1323,1824,1883]","block","lineHeight<24>"
"5","[264,1323,1824,1883]","paragraph","fontSize<10>indentation<none>lineHeight<24>textOrientation<justified>"
"5","[264,1325,844,870]","line","fontSize<11>"
"5","[264,1325,964,990]","line","fontSize<11>"
"5","[264,1325,1044,1070]","line","fontSize<11>"
"5","[264,1325,1084,1110]","line","fontSize<11>"
"5","[264,1325,1124,1150]","line","fontSize<11>"
"5","[264,1325,1164,1190]","line","fontSize<11>"
"5","[264,1325,1204,1230]","line","fontSize<11>"
"5","[264,1325,1244,1270]","line","fontSize<11>"
"5","[264,1324,804,830]","line","fontSize<11>"
"5","[264,1324,924,950]","line","fontSize<11>"
"5","[264,1324,1004,1030]","line","fontSize<11>"
"5","[264,1323,644,670]","line","fontSize<11>"
"5","[264,1323,884,910]","line","fontSize<11>"
"5","[264,1322,684,710]","line","fontSize<11>"
"5","[264,1324,364,389]","line","fontSize<11>"
"5","[264,1323,284,309]","line","fontSize<11>"
"5","[264,1323,324,349]","line","fontSize<11>"
"5","[264,1323,484,509]","line","fontSize<11>"
"5","[264,1323,524,549]","line","fontSize<11>"
"5","[264,1323,564,589]","line","fontSize<11>"
"5","[264,1323,604,629]","line","fontSize<11>"
"5","[312,1323,764,790]","line","fontSize<11>"
"5","[264,1323,1824,1848]","line","fontSize<10>"
"5","[264,1322,1962,1986]","region",""
"5","[264,1322,1962,1986]","block","lineHeight<24>"
"5","[264,1322,1962,1986]","line","fontSize<9>"
"5","[264,1322,1962,1986]","paragraph","_layoutExtrapolated<true>fontSize<9>indentation<none>lineHeight<24>textOrientation<justified>"
"5","[312,1323,444,469]","line","fontSize<11>"
"5","[264,1172,1859,1883]","line","fontSize<10>"
"5","[264,960,1284,1310]","line","fontSize<11>"
"5","[264,603,724,750]","line","fontSize<11>"
"5","[264,609,404,429]","line","fontSize<11>"
"6","[264,1322,289,1239]","image",""
"6","[260,1326,1255,1993]","region",""
"6","[260,1326,1255,1993]","column","lineHeight<24>"
"6","[264,1323,1255,1695]","region",""
"6","[264,1323,1255,1695]","block","lineHeight<23>"
"6","[264,1323,1255,1695]","paragraph","fontSize<10>indentation<none>lineHeight<23>textOrientation<justified>"
"6","[264,1323,1745,1891]","region",""
"6","[264,1323,1745,1891]","block","indentation<indent>lineHeight<25>"
"6","[264,1323,1745,1891]","paragraph","fontSize<11>indentation<indent>lineHeight<25>textOrientation<justified>"
"6","[264,1323,1786,1811]","line","fontSize<11>"
"6","[264,1323,1826,1851]","line","fontSize<11>"
"6","[264,1322,1866,1891]","line","fontSize<11>"
"6","[312,1323,1745,1771]","line","fontSize<11>"
"6","[260,1326,1969,1993]","region",""
"6","[260,1326,1969,1993]","block","lineHeight<24>"
"6","[260,1326,1969,1993]","line","fontSize<9>"
"6","[260,1326,1969,1993]","paragraph","_layoutExtrapolated<true>fontSize<9>indentation<indent>lineHeight<24>textOrientation<justified>"
"6","[264,1323,1255,1279]","line","fontSize<10>"
"6","[264,1323,1324,1348]","line","fontSize<10>"
"6","[264,1323,1532,1556]","line","fontSize<10>"
"6","[264,1323,1567,1591]","line","fontSize<10>"
"6","[264,1322,1359,1383]","line","fontSize<10>"
"6","[264,1322,1428,1452]","line","fontSize<10>"
"6","[264,1322,1463,1487]","line","fontSize<10>"
"6","[264,1323,1290,1313]","line","fontSize<10>"
"6","[264,1323,1602,1625]","line","fontSize<10>"
"6","[264,1323,1637,1660]","line","fontSize<10>"
"6","[264,1322,1394,1417]","line","fontSize<10>"
